Phenomenon Date,Time,Temperature,SpecificConductance,Salinity ,DOPercent,DOmgl,pH (mV),pH,Turbidity ,Chlorophyll,Chlorophyllngl,:fDOM (RFU),:fDOM (QSU),:Wind direction,:Wind speed (m/s),AirTemp,:Relative humidity (%),:Barometric pressure (hPa),:Solar radiation (W/m2),NO3M
04/03/2025,12:00:00 PM,4.304,46098.4,29.21,103.05,11.01,-70.84,8.03,2.41,-0.15,-0.12,1.84,4.81,179,5.45,4.8,99,1015.1,111,10.5
04/03/2025,11:00:00 AM,4.279,45848.9,29.04,102.85,11.01,-70.77,8.03,2.34,-0.17,-0.2,1.76,4.54,179,6.64,4.1,99,1016.8,56,10.18
04/03/2025,10:00:00 AM,4.425,45767.9,29,103.22,11.01,-71.1,8.03,2.37,-0.18,-0.22,1.8,4.68,165,7.08,3.6,99,1019.8,69,9.78
04/03/2025,9:00:00 AM,4.439,45889.9,29.09,103.43,11.03,-71.18,8.04,2.27,-0.2,-0.28,1.77,4.58,174,6.94,3,98,1022.2,57,8.96
04/03/2025,8:00:00 AM,4.256,46389.3,29.41,102.87,10.99,-70.95,8.03,2.12,-0.22,-0.37,1.65,4.18,179,6.41,3,97,1024.7,24,9.9
04/03/2025,7:00:00 AM,4.119,47087.7,29.88,102.77,10.98,-70.71,8.03,1.99,-0.22,-0.35,1.53,3.76,185,6.6,2.8,93,1024.8,16,10.66
04/03/2025,6:00:00 AM,4.143,47157.4,29.93,103.06,11,-70.87,8.03,1.85,-0.22,-0.35,1.5,3.67,190,5.78,2.9,86,1025.9,1,10.34
04/03/2025,5:00:00 AM,4.165,47093.4,29.89,103.29,11.03,-70.91,8.03,2.03,-0.25,-0.47,1.51,3.71,166,5.12,2.5,85,1027,0,10.39
04/03/2025,4:00:00 AM,4.266,46661.3,29.6,103.48,11.04,-71.3,8.04,2.09,-0.22,-0.35,1.62,4.09,199,3.81,1.7,89,1027.7,0,10.25
04/03/2025,3:00:00 AM,4.11,47502.7,30.17,103.37,11.03,-70.71,8.03,2.07,-0.2,-0.31,1.4,3.35,198,2.91,1,92,1028.2,0,10.3
04/03/2025,2:00:00 AM,4.22,47127.2,29.92,103.67,11.05,-71.01,8.03,2.2,-0.21,-0.34,1.5,3.67,195,4.83,1.1,84,1028,0,10.71
04/03/2025,1:00:00 AM,4.262,47009.1,29.85,103.78,11.05,-71.14,8.04,2.06,-0.17,-0.2,1.52,3.73,193,5.53,2.5,71,1028.9,0,10.52
04/03/2025,12:00:00 AM,4.316,46786.3,29.7,104.04,11.08,-71.18,8.04,2.14,-0.19,-0.27,1.57,3.9,193,3.41,2.2,62,1031.2,0,10.52
04/02/2025,11:00:00 PM,4.503,46017.6,29.18,104.38,11.1,-71.54,8.04,2.09,-0.09,0.08,1.75,4.51,210,3.11,2.2,56,1031.7,0,10.23
04/02/2025,10:00:00 PM,4.512,45868.1,29.08,104.24,11.09,-71.68,8.04,2.21,-0.17,-0.19,1.75,4.51,164,5.2,2.2,60,1030.8,0,10.04
04/02/2025,9:00:00 PM,4.517,45767.2,29.01,104.48,11.12,-71.77,8.05,2.48,-0.15,-0.12,1.8,4.68,171,3.97,2.1,55,1031.8,0,10.57
04/02/2025,8:00:00 PM,4.459,46204.6,29.31,104.87,11.16,-71.78,8.05,2.19,-0.22,-0.37,1.69,4.29,231,2.75,2.3,55,1033.2,0,10.17
04/02/2025,7:00:00 PM,4.475,46787.2,29.72,105.06,11.14,-71.69,8.05,1.95,-0.17,-0.21,1.45,3.5,211,2.3,2,60,1032.3,0,9.45
04/02/2025,6:00:00 PM,4.422,46986.8,29.85,104.93,11.13,-71.49,8.04,1.95,-0.21,-0.34,1.43,3.43,198,3.47,1.9,53,1032.3,3,10.58
04/02/2025,5:00:00 PM,4.526,46853.2,29.77,105.14,11.13,-71.37,8.04,2.03,-0.29,-0.61,1.47,3.56,204,5.85,1.9,53,1032.5,63,10.24
04/02/2025,4:00:00 PM,4.799,46249.2,29.38,105.72,11.15,-71.8,8.05,2.13,-0.26,-0.49,1.54,3.82,171,6.39,1.8,48,1031.6,215,10.3
04/02/2025,3:00:00 PM,4.226,47370,30.09,103.7,11.04,-71.07,8.03,2.15,-0.28,-0.56,1.38,3.27,199,4.91,1.7,44,1031.8,481,10.44
04/02/2025,2:00:00 PM,4.367,47020.8,29.87,103.8,11.03,-71.06,8.03,2,-0.29,-0.59,1.43,3.44,186,4.58,2,47,1031.6,713,10.99
04/02/2025,1:00:00 PM,4.23,46991.7,29.83,103.95,11.08,-71.38,8.04,6.1,-0.28,-0.58,1.5,3.67,227,0.27,3.6,24,1032.1,889,9.74
04/02/2025,12:00:00 PM,4.31,46531.6,29.52,103.41,11.03,-71.22,8.04,2.17,-0.27,-0.53,1.6,4.01,2,0.91,1.8,25,1032.5,938,10.01
04/02/2025,11:00:00 AM,4.337,46075.1,29.2,103.29,11.03,-71.51,8.04,2.33,-0.29,-0.6,1.75,4.5,349,3.7,0.7,34,1033,933,10.4
04/02/2025,10:00:00 AM,4.326,45904.1,29.08,103.02,11.01,-71.55,8.04,2.39,-0.28,-0.59,1.78,4.59,343,5.36,-0.5,33,1033,878,9.86
04/02/2025,9:00:00 AM,4.335,45628.6,28.89,102.82,11,-71.59,8.04,2.47,-0.28,-0.58,1.86,4.86,4,6.25,-1.2,42,1033.3,673,10.32
04/02/2025,8:00:00 AM,4.306,45679,28.92,102.68,10.99,-71.59,8.04,2.45,-0.28,-0.57,1.86,4.88,335,4.21,-2,44,1032.9,561,10.44
04/02/2025,7:00:00 AM,4.225,46331.5,29.37,102.55,10.97,-71.37,8.04,2.41,-0.22,-0.35,1.7,4.32,349,5.05,-2.3,52,1032.6,316,9.7
04/02/2025,6:00:00 AM,3.926,47183.1,29.92,101.9,10.94,-70.96,8.03,2.13,-0.22,-0.35,1.53,3.78,320,3.97,-2.3,47,1031.6,41,9.98
04/02/2025,5:00:00 AM,3.969,47344.5,30.04,102.28,10.96,-70.95,8.03,2.09,-0.21,-0.33,1.45,3.5,329,6.3,-1.8,47,1029.9,0,10.35
04/02/2025,4:00:00 AM,4.023,47290.2,30.01,102.76,11,-71.18,8.04,2.07,-0.24,-0.44,1.45,3.5,337,4.16,-1.2,50,1028.7,0,10.52
04/02/2025,3:00:00 AM,4.062,47102.2,29.88,102.67,10.99,-71.28,8.04,2.04,-0.21,-0.33,1.51,3.69,336,5.42,-0.8,46,1027.7,0,10.54
04/02/2025,2:00:00 AM,4.11,47526.9,30.19,102.98,10.98,-70.91,8.03,2.34,-0.23,-0.39,1.38,3.29,1,4.22,-0.4,43,1026.3,0,10.51
04/02/2025,1:00:00 AM,4.117,47199,29.96,103.04,11.01,-71.18,8.04,2.15,-0.21,-0.33,1.48,3.59,316,5.29,0.2,49,1025.4,0,10.88
04/02/2025,12:00:00 AM,4.257,46877.9,29.75,103.41,11.02,-71.39,8.04,3.84,-0.14,-0.09,1.54,3.81,330,6.48,0.5,47,1024.4,0,10.72
04/01/2025,11:00:00 PM,4.304,46545,29.53,103.44,11.03,-71.55,8.04,2.18,-0.17,-0.2,1.63,4.11,324,1.22,1.1,45,1023.2,0,10.01
04/01/2025,10:00:00 PM,4.44,46017.3,29.18,103.7,11.05,-71.85,8.05,2.07,-0.2,-0.29,1.75,4.49,341,5.72,1.8,49,1021.4,0,10.18
04/01/2025,9:00:00 PM,4.441,45943.9,29.12,103.61,11.04,-71.88,8.05,2.16,-0.19,-0.25,1.77,4.57,328,4.54,2.6,43,1020.8,0,9.81
04/01/2025,8:00:00 PM,4.477,45937.7,29.12,103.91,11.07,-71.88,8.05,2.3,-0.19,-0.26,1.39,3.3,338,5.34,3.3,45,1019.7,0,10.34
04/01/2025,7:00:00 PM,4.432,46288.2,29.36,104.23,11.09,-72.01,8.05,2.23,-0.22,-0.36,1.68,4.26,310,5.73,4.2,42,1017.9,0,9.38
