Date,Time,Temperature,SpecificConductance,Salinity,DOpercent,DOmgl,pHmV,pH,Turbidity,ChlorophyllRFU,Chlorophyllugl,fDOM (RFU),fDOM (QSU),Wind direction,Wind speed (m/s),AirTemp,RelHumidity,BarometricPressurehPA,SolarRadiationWm2,NitrateuM
04/09/2025,6:00:00 AM,4.543,45795.1,29.03,103.63,11.02,-70.19,8.02,2.04,0.02,0.47,1.85,4.82,301,6.18,-2.7,83,1014.5,53,9.99
04/09/2025,5:00:00 AM,4.585,45584,28.89,103.52,11.01,-70.29,8.02,1.92,-0.2,-0.28,1.9,5,298,6.34,-2.4,84,1012.7,1,9.86
04/09/2025,4:00:00 AM,4.635,45335.2,28.72,103.9,11.05,-70.48,8.02,1.98,-0.21,-0.33,1.99,5.31,313,5.05,-2.3,86,1011.3,0,10.63
04/09/2025,3:00:00 AM,4.558,45886.1,29.1,103.54,11,-70.11,8.02,1.94,-0.2,-0.28,1.82,4.74,300,4.73,-2.7,90,1009.9,0,9.57
04/09/2025,2:00:00 AM,4.183,46137.3,29.23,102.07,10.94,-70.43,8.02,1.86,-0.1,0.04,1.96,5.19,307,4.04,-2.6,91,1008.9,0,10.13
04/09/2025,1:00:00 AM,4.389,46394.6,29.43,103.05,10.97,-69.91,8.01,1.83,-0.17,-0.2,1.72,4.39,301,3.36,-2.6,92,1007.5,0,9.93
04/09/2025,12:00:00 AM,4.428,46441.4,29.47,103.59,11.02,-70.01,8.01,1.78,-0.23,-0.38,1.57,3.89,298,7.34,-2.3,94,1006.3,0,9.8
04/08/2025,11:00:00 PM,4.511,46498.2,29.52,104.16,11.05,-70.12,8.02,1.83,-0.21,-0.33,1.62,4.08,314,8.22,-1.8,97,1005.3,0,10.24
04/08/2025,10:00:00 PM,4.526,46360.2,29.43,104.4,11.08,-70.34,8.02,1.79,-0.17,-0.19,1.66,4.2,281,11.95,-1.4,98,1003.8,0,10.4
04/08/2025,9:00:00 PM,4.487,46852.5,29.77,104.31,11.06,-69.87,8.01,1.77,-0.19,-0.26,1.56,3.86,999,999.99,-0.2,99,1002.3,0,10.63
04/08/2025,8:00:00 PM,4.676,46126.2,29.28,105.1,11.12,-70.41,8.02,2.1,-0.13,-0.04,1.72,4.39,299,9.54,0.2,98,1000.7,0,10.26
04/08/2025,7:00:00 PM,4.622,46736.8,29.7,104.81,11.08,-69.83,8.01,1.9,-0.18,-0.21,1.56,3.86,295,7.75,0.5,95,999.6,1,10.3
04/08/2025,6:00:00 PM,4.79,46102,29.28,104.91,11.07,-70.33,8.02,1.87,-0.09,0.09,1.63,4.1,285,6.51,1.1,95,998.2,3,10
04/08/2025,5:00:00 PM,4.912,45587.6,28.93,105.14,11.09,-70.37,8.02,1.89,-0.2,-0.3,1.82,4.73,178,2.62,2.7,94,997.5,28,10.61
04/08/2025,4:00:00 PM,4.95,45283.8,28.73,105.5,11.14,-70.7,8.03,1.92,-0.2,-0.31,1.9,5,177,2.98,2.6,94,997.8,203,10.47
04/08/2025,3:00:00 PM,4.935,45390.1,28.8,105.46,11.13,-70.54,8.02,1.83,-0.25,-0.47,1.87,4.89,183,4.2,2.8,93,998,135,10.31
04/08/2025,2:00:00 PM,4.778,46216.6,29.36,105.62,11.15,-70.32,8.02,1.8,-0.25,-0.45,1.65,4.17,160,3.11,3,91,998.3,237,9.94
04/08/2025,1:00:00 PM,4.679,46718.4,29.7,104.53,11.03,-70.1,8.02,1.88,-0.13,-0.05,1.48,3.61,172,3.67,3.2,88,998.7,186,10.5
04/08/2025,12:00:00 PM,4.609,46844.2,29.78,104,10.99,-69.65,8.01,1.75,-0.26,-0.49,1.49,3.65,171,1.78,3.8,82,998.7,138,11.03
04/08/2025,11:00:00 AM,4.553,46879.2,29.79,104.24,11.03,-69.63,8.01,1.83,-0.26,-0.48,1.52,3.73,4,2.4,3.2,88,999.1,386,11.08
04/08/2025,10:00:00 AM,4.535,46795.3,29.73,104.12,11.03,-69.65,8.01,2.18,-0.21,-0.31,1.56,3.88,18,1.29,2.6,89,1000,366,11.94
04/08/2025,9:00:00 AM,4.433,47312.5,30.08,103.64,10.98,-69.18,8,1.74,-0.24,-0.44,1.43,3.43,299,0.78,2.8,86,1000.9,103,11.22
04/08/2025,8:00:00 AM,4.494,47059.2,29.91,103.76,10.99,-69.31,8,1.72,-0.26,-0.49,1.5,3.67,95,1.03,3.1,78,1000.5,90,10.71
04/08/2025,7:00:00 AM,4.573,46735.4,29.69,103.91,11,-69.4,8,1.85,-0.22,-0.35,1.59,3.96,43,1.67,2.8,78,1000.8,80,10.29
04/08/2025,6:00:00 AM,4.578,46603.6,29.6,103.8,10.99,-69.56,8.01,1.78,-0.1,0.07,1.64,4.15,50,2.74,2.2,83,1001.1,55,11.07
04/08/2025,5:00:00 AM,4.7,46185.6,29.33,104.14,11.01,-69.81,8.01,1.86,-0.15,-0.12,1.7,4.32,19,2.13,2.3,84,1002,0,10.62
04/08/2025,4:00:00 AM,4.777,46002.4,29.21,104.31,11.02,-69.9,8.01,1.86,-0.19,-0.24,1.78,4.59,24,1.66,2.4,83,1002.1,0,9.88
04/08/2025,3:00:00 AM,4.86,45551.5,28.9,104.74,11.07,-70.08,8.01,1.87,-0.17,-0.2,1.89,4.97,35,2.22,2.4,84,1002.1,0,10.16
04/08/2025,2:00:00 AM,4.707,46103.6,29.27,104.15,11.02,-69.83,8.01,1.89,-0.16,-0.15,1.77,4.56,18,1.1,2.3,84,1002.7,0,10.4
04/08/2025,1:00:00 AM,4.744,46084,29.26,104.35,11.03,-70.28,8.02,1.87,-0.16,-0.15,1.74,4.48,9,1.94,2.4,82,1003.4,0,10.07
04/08/2025,12:00:00 AM,4.635,46680.7,29.66,104.35,11.03,-69.75,8.01,1.9,-0.18,-0.24,1.58,3.94,31,0.77,2.6,81,1004.1,0,9.52
04/07/2025,11:00:00 PM,4.625,46745.8,29.71,104.76,11.07,-69.8,8.01,1.78,-0.15,-0.13,1.55,3.84,32,0.69,2.7,81,1004.4,0,10.1
04/07/2025,10:00:00 PM,4.676,46631.6,29.64,104.96,11.08,-69.98,8.01,1.81,-0.15,-0.11,1.57,3.92,2,0.88,2.7,82,1004.9,0,10.3
04/07/2025,9:00:00 PM,4.709,46426.2,29.5,105.24,11.12,-70.17,8.02,1.74,-0.16,-0.15,1.63,4.11,29,0.55,3.1,80,1006.8,0,10.15
04/07/2025,8:00:00 PM,4.649,46722.2,29.7,104.92,11.08,-70.01,8.01,1.78,-0.16,-0.14,1.57,3.9,109,0.48,3.2,75,1006.9,0,11.03
04/07/2025,7:00:00 PM,4.694,46511.8,29.55,105.02,11.09,-70.28,8.02,1.82,-0.09,0.08,1.6,4.01,241,0.84,3.5,71,1007,0,10.47
04/07/2025,6:00:00 PM,4.78,46262.8,29.39,105.4,11.12,-70.28,8.02,1.89,-0.1,0.04,1.67,4.23,193,1.19,3.4,71,1006.6,4,10.27
04/07/2025,5:00:00 PM,4.811,46237.3,29.38,105.57,11.13,-70.27,8.02,1.87,-0.1,0.07,1.51,3.71,168,2.77,3.5,69,1007.2,38,10.11
04/07/2025,4:00:00 PM,4.942,45589.1,28.94,105.26,11.1,-70.32,8.02,1.91,-0.18,-0.23,1.78,4.6,169,2.63,3.6,70,1008.4,54,10.27
04/07/2025,3:00:00 PM,4.885,45624.2,28.96,105.1,11.09,-70.21,8.02,1.87,-0.26,-0.49,1.83,4.75,182,3.28,3.7,71,1008.6,151,9.97
04/07/2025,2:00:00 PM,4.893,45565.2,28.91,104.94,11.08,-70.22,8.02,1.86,-0.29,-0.6,1.85,4.85,185,4.33,3.8,66,1009.7,225,9.57
04/07/2025,1:00:00 PM,4.884,46093.3,29.28,105.72,11.13,-70.48,8.02,1.81,-0.28,-0.58,1.65,4.18,197,3.71,3.7,74,1010.4,282,10.74
04/07/2025,12:00:00 PM,4.815,46447.3,29.52,104.75,11.03,-70.01,8.01,1.72,-0.3,-0.64,1.57,3.91,161,3.06,4,70,1009.5,419,10.02
04/07/2025,11:00:00 AM,4.653,46571.5,29.59,103.79,10.97,-69.85,8.01,1.94,-0.28,-0.56,1.57,3.9,322,2.49,5.2,51,1010.8,492,10.66
04/07/2025,10:00:00 AM,4.551,46838.6,29.76,103.53,10.96,-69.6,8.01,1.89,-0.28,-0.56,1.54,3.82,32,3.42,4.6,46,1011.6,330,10.34
04/07/2025,9:00:00 AM,4.575,46656.9,29.64,103.68,10.98,-69.75,8.01,1.76,-0.26,-0.51,1.58,3.94,344,2.38,4,51,1012.5,307,10.53
04/07/2025,8:00:00 AM,4.506,46781.9,29.72,103.57,10.98,-69.6,8.01,1.74,-0.23,-0.41,1.58,3.92,18,1.99,3.9,54,1012.1,230,10.47
04/07/2025,7:00:00 AM,4.509,46930.3,29.82,103.14,10.92,-69.34,8,1.93,-0.21,-0.34,1.53,3.79,356,0.68,4.1,63,1012.4,71,11.24
04/07/2025,6:00:00 AM,4.476,47055.7,29.91,103.27,10.94,-69.24,8,1.88,-0.17,-0.19,1.5,3.66,298,1.39,3.6,66,1012.3,23,10.54
04/07/2025,5:00:00 AM,4.538,46787.9,29.73,103.66,10.98,-69.44,8,1.79,-0.22,-0.35,1.57,3.9,35,1.67,3.8,63,1011.8,0,10.36
04/07/2025,4:00:00 AM,4.722,46046.6,29.23,104.19,11.02,-69.95,8.01,1.91,-0.15,-0.13,1.74,4.48,20,2.81,4.2,62,1010.9,0,10.64
04/07/2025,3:00:00 AM,4.786,45940,29.16,103.13,10.9,-69.82,8.01,1.93,-0.17,-0.18,1.74,4.47,9,1.68,4.7,68,1011,0,10.17
04/07/2025,2:00:00 AM,4.795,45791.4,29.06,104.08,11,-69.93,8.01,1.8,-0.18,-0.22,1.82,4.72,65,0.88,4.9,83,1010.1,0,10.18
04/07/2025,1:00:00 AM,4.769,45933.5,29.16,104.03,11,-69.97,8.01,1.96,-0.16,-0.17,1.8,4.68,338,1.94,5.8,68,1009.9,0,10.42
04/07/2025,12:00:00 AM,4.881,45958.1,29.19,104.58,11.02,-70.48,8.02,1.85,-0.2,-0.3,1.74,4.47,323,2.63,6.2,67,1010,0,9.8
04/06/2025,11:00:00 PM,4.865,45995.1,29.21,105.37,11.11,-70.54,8.02,1.91,-0.25,-0.46,1.79,4.64,5,4.5,6.5,69,1010,0,9.65
04/06/2025,10:00:00 PM,4.638,46816.5,29.76,104.76,11.06,-69.84,8.01,1.81,-0.18,-0.21,1.52,3.75,1,3.92,6.8,69,1009.8,0,10.38
04/06/2025,9:00:00 PM,4.772,46518.9,29.57,104.83,11.05,-70.03,8.01,1.78,-0.17,-0.19,1.54,3.82,338,2.7,7.2,72,1009.7,0,10.4
04/06/2025,8:00:00 PM,4.855,46302.6,29.43,105.17,11.07,-70.22,8.02,1.74,-0.18,-0.24,1.61,4.03,332,2.62,8.1,70,1009.1,0,10.17
04/06/2025,7:00:00 PM,4.839,46339.8,29.45,105.26,11.09,-70.3,8.02,1.76,-0.18,-0.24,1.58,3.94,269,2.09,8.2,93,1007.9,0,10.54
04/06/2025,6:00:00 PM,4.714,46507.8,29.55,105.1,11.09,-70.24,8.02,1.84,-0.17,-0.17,1.56,3.88,264,2.54,9.2,86,1006.2,9,10.29
04/06/2025,5:00:00 PM,4.679,46594,29.61,104.58,11.05,-69.82,8.01,1.86,-0.19,-0.24,1.54,3.82,290,1.12,8.9,87,1005.3,110,9.74
04/06/2025,4:00:00 PM,4.915,46081.2,29.28,104.64,11.01,-70.17,8.02,1.88,-0.21,-0.34,1.62,4.08,286,2.15,9.1,87,1005.5,122,10.17
04/06/2025,3:00:00 PM,4.768,45977.5,29.19,104.14,11.01,-70.16,8.02,1.91,-0.21,-0.33,1.7,4.35,314,1.08,8.7,86,1005.6,173,10.6
04/06/2025,2:00:00 PM,4.971,45415.8,28.82,104.57,11.02,-70.35,8.02,1.98,-0.1,0.05,1.82,4.72,292,1.81,8.4,88,1005.5,507,10.03
