location,mass
0,43.30
0,44.80
0,44.00
0,44.70
0,42.20
0,43.00
0,42.80
0,46.00
0,41.00
0,46.50
0,44.00
0,45.60
0,44.50
0,48.00
0,44.30
0,45.00
0,45.50
0,46.50
0,46.00
0,46.50
0,44.50
0,44.00
0,45.20
0,43.00
0,41.80
0,45.00
0,42.20
0,47.00
0,42.50
0,49.00
0,44.20
0,42.50
0,48.50
0,43.50
0,37.30
0,47.00
0,46.70
0,42.00
0,44.50
0,41.50
0,47.00
0,41.20
0,43.00
0,44.50
0,45.00
0,44.20
0,41.50
0,48.50
0,43.00
0,44.00
0,47.50
0,44.00
0,47.50
0,49.00
0,48.80
0,41.00
0,45.50
0,47.00
0,43.50
0,43.00
0,50.00
0,44.70
0,42.20
0,42.00
0,44.00
0,51.00
0,45.50
0,46.00
0,47.50
0,51.00
0,45.70
0,45.20
0,46.50
0,46.00
0,43.50
0,45.00
0,50.00
0,48.00
0,49.00
0,45.00
0,43.50
0,50.00
0,44.50
0,51.00
0,47.50
0,49.30
0,52.50
0,47.00
0,52.80
0,46.00
0,45.50
0,44.50
0,47.50
0,52.20
0,52.20
0,42.50
0,53.20
0,49.50
0,51.00
0,41.80
0,44.30
0,40.00
0,38.40
0,49.50
0,42.00
0,48.00
0,51.00
0,40.80
0,42.00
0,44.50
0,43.00
0,43.00
0,45.00
0,42.10
0,44.00
0,44.00
0,44.30
0,44.50
0,45.50
0,42.00
0,40.00
0,41.50
0,44.00
0,43.70
0,44.00
0,44.50
0,47.00
0,46.70
0,44.50
0,45.00
0,45.00
0,43.50
0,42.50
0,47.00
0,44.00
0,46.50
0,47.00
0,42.50
0,41.20
0,44.20
0,47.50
0,46.00
0,48.00
0,48.50
0,46.50
0,49.50
0,46.00
0,47.50
0,48.50
0,43.70
0,40.50
0,47.00
0,44.20
0,45.00
0,43.50
0,41.50
0,48.50
0,46.50
0,45.00
0,40.50
0,47.50
0,46.30
0,44.00
0,49.80
0,46.50
0,44.50
0,47.60
0,47.80
0,42.50
0,48.00
0,47.30
0,49.00
0,42.00
0,38.80
0,45.00
0,45.50
0,40.80
0,45.00
0,48.80
0,40.00
0,43.80
0,43.50
0,45.00
0,44.50
0,50.00
0,45.00
0,47.70
0,46.50
0,40.00
0,42.50
0,48.80
0,46.20
0,42.00
0,46.00
0,43.00
0,45.00
0,43.80
0,43.50
0,47.50
0,45.00
0,39.50
0,43.00
0,49.00
0,41.50
0,45.00
0,43.00
0,40.50
0,48.50
0,44.30
0,40.50
0,50.20
0,41.50
0,40.50
0,48.00
0,48.50
0,56.00
1,45.00
1,43.00
1,42.00
1,40.50
1,42.00
1,46.50
1,47.00
1,41.00
1,40.50
1,46.00
1,47.00
1,44.00
1,45.00
1,42.50
1,44.00
1,45.00
1,46.50
1,40.00
1,44.00
1,46.50
1,43.50
1,50.00
1,50.50
1,45.00
1,42.00
1,42.00
1,44.00
1,42.50
1,45.50
1,40.50
1,46.00
1,44.50
1,41.50
1,46.50
1,39.00
1,46.50
1,49.00
1,45.00
1,41.50
1,48.00
1,43.00
1,48.00
1,47.50
1,46.50
1,39.00
1,51.50
2,42.00
2,40.00
2,43.00
2,41.50
2,40.00
2,40.00
2,39.00
2,40.00
2,38.00
2,43.00
2,40.00
2,42.00
2,40.00
2,40.00
2,40.00
2,36.00
2,37.50
2,49.00
2,48.00
2,42.00
2,38.00
2,38.00
2,37.00
2,42.00
2,38.50
2,42.00
2,41.00
2,38.00
2,40.00
2,37.00
2,41.00
2,38.00
2,38.00
2,40.00
2,41.50
2,36.50
2,39.00
2,35.00
2,39.50
2,39.00
2,37.50
2,39.50
2,36.00
2,40.00
2,37.00
2,42.50
2,36.00
2,39.50
2,36.00
2,36.00
2,41.50
2,40.00
2,41.50
2,46.00
2,41.50
2,47.00
2,39.50
2,40.00
2,45.00
2,42.00
2,39.00
2,41.50
2,41.50
2,38.00
2,43.50
2,42.50
2,44.00
2,39.00
2,43.00
2,40.00
2,43.00
2,42.00
2,42.00
2,40.50
2,38.00
2,39.00
2,40.50
2,37.50
2,39.00
2,39.00
2,36.00
2,38.00
2,43.00
2,43.50
2,36.00
2,40.50
2,41.00
2,46.00
2,43.00
2,37.00
2,45.00
2,37.00
2,39.50
2,44.00
2,36.00
2,41.50
2,40.00
2,39.00
2,35.50
2,39.00
2,44.00
2,41.00
2,43.00
2,36.50
2,41.00
2,39.00
2,36.00
2,41.00
2,40.00
2,38.00
2,41.00
2,39.50
2,41.00
2,40.00
2,45.00
2,40.00
2,43.00
2,40.00
2,44.50
2,46.00
2,43.00
2,45.00
2,40.00
2,40.00
2,41.40
3,38.40
3,39.00
3,40.20
3,36.30
3,37.20
3,35.80
3,38.10
3,35.50
3,38.10
3,34.90
3,36.40
3,34.80
3,37.30
3,37.00
3,37.90
3,35.10
3,37.00
3,36.50
3,38.30
3,36.80
3,38.30
3,36.70
3,39.90
3,38.90
3,37.00
3,35.10
3,37.00
3,35.10
3,38.10
3,36.30
3,36.50
3,36.80
3,35.20
3,37.70
3,35.70
3,34.50
3,37.70
3,34.60
3,36.20
3,33.90
3,38.10
3,31.70
3,34.60
3,33.70
3,29.50
