State,Pop,Ethanol
Alabama,5073903,8459
Alaska,733276,1675
Arizona,7365684,14815
Arkansas,3046404,4867
California,39040616,93912
Colorado,5841039,15133
Connecticut,3608706,7384
Delaware,1019459,3499
District of Columbia,670949,2333
Florida,22245521,56406
Georgia,10913150,17716
Hawaii,1439399,3263
Idaho,1938996,3032
Illinois,12582515,25453
Indiana,6832274,13019
Iowa,3199693,6324
Kansas,2936716,5294
Kentucky,4511563,8268
Louisiana,4588023,10454
Maine,1389338,3459
Maryland,6163981,10748
Massachusetts,6982740,16845
Michigan,10033281,20109
Minnesota,5714300,13481
Mississippi,2938928,5458
Missouri,6177168,14118
Montana,1122878,3036
Nebraska,1968060,3463
Nevada,3177421,9708
New Hampshire,1399003,5409
New Jersey,9260817,19594
New Mexico,2113476,4230
New York,19673200,37293
North Carolina,10695965,20946
North Dakota,778912,2106
Ohio,11759697,20521
Oklahoma,4019271,6197
Oregon,4239379,10094
Pennsylvania,12972091,26973
Rhode Island,1093842,2616
South Carolina,5282955,9455
South Dakota,909869,1686
Tennessee,7048976,14196
Texas,30029848,57451
Utah,3381236,3291
Vermont,647110,1718
Virginia,8679099,15836
Washington,7784477,14539
West Virginia,1774035,2675
Wisconsin,5890543,15698
Wyoming,581629,1418
